Spain, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 06/05/2016
Year   Age   Cohort      ASFR
1922   12       .    0.00000
1922   13     1909    0.00001
1922   13     1908    0.00001
1922   14     1908    0.00008
1922   14     1907    0.00015
1922   15     1907    0.00042
1922   15     1906    0.00067
1922   16     1906    0.00171
1922   16     1905    0.00258
1922   17     1905    0.00543
1922   17     1904    0.00759
1922   18     1904    0.01376
1922   18     1903    0.01793
1922   19     1903    0.02818
1922   19     1902    0.03481
1922   20     1902    0.05228
1922   20     1901    0.06234
1922   21     1901    0.08379
1922   21     1900    0.09630
1922   22     1900    0.12491
1922   22     1899    0.13877
1922   23     1899    0.16329
1922   23     1898    0.17601
1922   24     1898    0.20017
1922   24     1897    0.20928
1922   25     1897    0.21978
1922   25     1896    0.22442
1922   26     1896    0.23189
1922   26     1895    0.23436
1922   27     1895    0.23697
1922   27     1894    0.23806
1922   28     1894    0.23955
1922   28     1893    0.24075
1922   29     1893    0.24542
1922   29     1892    0.24453
1922   30     1892    0.23716
1922   30     1891    0.23167
1922   31     1891    0.21669
1922   31     1890    0.21095
1922   32     1890    0.20089
1922   32     1889    0.19807
1922   33     1889    0.19556
1922   33     1888    0.19528
1922   34     1888    0.19786
1922   34     1887    0.19714
1922   35     1887    0.19288
1922   35     1886    0.18890
1922   36     1886    0.17714
1922   36     1885    0.17154
1922   37     1885    0.15991
1922   37     1884    0.15409
1922   38     1884    0.14201
1922   38     1883    0.13595
1922   39     1883    0.12406
1922   39     1882    0.11790
1922   40     1882    0.10501
1922   40     1881    0.09886
1922   41     1881    0.08849
1922   41     1880    0.08153
1922   42     1880    0.06496
1922   42     1879    0.05837
1922   43     1879    0.04757
1922   43     1878    0.04197
1922   44     1878    0.03176
1922   44     1877    0.02755
1922   45     1877    0.02052
1922   45     1876    0.01777
1922   46     1876    0.01327
1922   46     1875    0.01188
1922   47     1875    0.00992
1922   47     1874    0.00922
1922   48     1874    0.00819
1922   48     1873    0.00770
1922   49     1873    0.00662
1922   49     1872    0.00645
1922   50     1872    0.00639
1922   50     1871    0.00553
1922   51     1871    0.00362
1922   51     1870    0.00242
1922   52     1870    0.00070
1922   52     1869    0.00041
1922   53     1869    0.00015
1922   53     1868    0.00008
1922   54     1868    0.00002
1922   54     1867    0.00001
1922   55       .    0.00000
1923   12       .    0.00000
1923   13     1910    0.00001
1923   13     1909    0.00002
1923   14     1909    0.00009
1923   14     1908    0.00017
1923   15     1908    0.00048
1923   15     1907    0.00076
1923   16     1907    0.00187
1923   16     1906    0.00279
1923   17     1906    0.00581
1923   17     1905    0.00804
1923   18     1905    0.01430
1923   18     1904    0.01849
1923   19     1904    0.02904
1923   19     1903    0.03567
1923   20     1903    0.05161
1923   20     1902    0.06115
1923   21     1902    0.08400
1923   21     1901    0.09623
1923   22     1901    0.12023
1923   22     1900    0.13341
1923   23     1900    0.16160
1923   23     1899    0.17450
1923   24     1899    0.19690
1923   24     1898    0.20676
1923   25     1898    0.22028
1923   25     1897    0.22602
1923   26     1897    0.23533
1923   26     1896    0.23866
1923   27     1896    0.24263
1923   27     1895    0.24400
1923   28     1895    0.24534
1923   28     1894    0.24604
1923   29     1894    0.24865
1923   29     1893    0.24678
1923   30     1893    0.23813
1923   30     1892    0.23185
1923   31     1892    0.21394
1923   31     1891    0.20777
1923   32     1891    0.19901
1923   32     1890    0.19595
1923   33     1890    0.19231
1923   33     1889    0.19200
1923   34     1889    0.19488
1923   34     1888    0.19422
1923   35     1888    0.18986
1923   35     1887    0.18588
1923   36     1887    0.17416
1923   36     1886    0.16865
1923   37     1886    0.15761
1923   37     1885    0.15203
1923   38     1885    0.14048
1923   38     1884    0.13471
1923   39     1884    0.12245
1923   39     1883    0.11714
1923   40     1883    0.10808
1923   40     1882    0.10224
1923   41     1882    0.08905
1923   41     1881    0.08213
